code_module,code_presentation,id_student,date_registration,date_unregistration
AAA,2013J,11391,-159,
AAA,2013J,28400,-53,
AAA,2013J,30268,-92,12
AAA,2013J,31604,-52,
AAA,2013J,32885,-176,
AAA,2013J,38053,-110,
AAA,2013J,45462,-67,
AAA,2013J,45642,-29,
AAA,2013J,52130,-33,
AAA,2013J,53025,-179,
AAA,2013J,57506,-103,
AAA,2013J,58873,-47,
AAA,2013J,59185,-59,
AAA,2013J,62155,-68,
AAA,2013J,63400,-67,
AAA,2013J,65002,-180,96
AAA,2013J,70464,-95,
AAA,2013J,71361,-130,
AAA,2013J,74372,-50,
AAA,2013J,75091,-107,
AAA,2013J,77367,-27,
AAA,2013J,91265,-31,
AAA,2013J,94961,-170,72
AAA,2013J,98094,-107,
AAA,2013J,100893,-62,
AAA,2013J,101781,-103,
AAA,2013J,102806,-107,
AAA,2013J,102952,-100,
AAA,2013J,104476,-109,
AAA,2013J,106247,5,175
AAA,2013J,106577,-107,
AAA,2013J,110175,-110,
AAA,2013J,111717,-43,
AAA,2013J,113295,-26,
AAA,2013J,114017,-29,
AAA,2013J,114999,-68,
AAA,2013J,116541,-68,
AAA,2013J,116692,-32,
AAA,2013J,118983,-99,
AAA,2013J,123044,-82,
AAA,2013J,127582,-31,
AAA,2013J,129955,-197,135
AAA,2013J,132976,-75,
AAA,2013J,134143,-96,
AAA,2013J,135335,-29,30
AAA,2013J,135400,-32,144
AAA,2013J,137873,-195,
AAA,2013J,141355,-61,
AAA,2013J,141377,-110,129
AAA,2013J,142326,-37,
AAA,2013J,144801,-67,
AAA,2013J,145130,-36,
AAA,2013J,146188,-132,
AAA,2013J,147756,-92,
AAA,2013J,147793,-138,58
AAA,2013J,148993,-174,158
AAA,2013J,151358,-44,
AAA,2013J,155550,-16,
AAA,2013J,155854,-54,
AAA,2013J,155984,-64,191
AAA,2013J,157568,-52,
AAA,2013J,159954,-46,123
AAA,2013J,164259,-64,
AAA,2013J,167906,-117,
AAA,2013J,168936,-32,
AAA,2013J,172112,-50,
AAA,2013J,172797,-45,
AAA,2013J,174782,-162,
AAA,2013J,175392,-195,
AAA,2013J,175932,-92,
AAA,2013J,175991,-57,
AAA,2013J,180753,-64,
AAA,2013J,181316,-39,60
AAA,2013J,183096,-128,
AAA,2013J,183947,-32,
AAA,2013J,184271,-74,
AAA,2013J,185439,-12,
AAA,2013J,186149,-109,
AAA,2013J,187100,-136,
AAA,2013J,188278,-57,60
AAA,2013J,189879,-180,
AAA,2013J,192183,-62,
AAA,2013J,195262,-45,185
AAA,2013J,200860,-54,
AAA,2013J,202635,-73,166
AAA,2013J,205350,-68,
AAA,2013J,205719,-51,
AAA,2013J,227499,-169,
AAA,2013J,227517,-172,
AAA,2013J,228082,-31,
AAA,2013J,228222,-108,
AAA,2013J,229179,-165,
AAA,2013J,229361,-58,
AAA,2013J,231554,-29,
AAA,2013J,235507,-79,109
AAA,2013J,236284,2,
AAA,2013J,238007,-151,
AAA,2013J,240712,-45,
AAA,2013J,240884,-47,
AAA,2013J,241649,-50,
AAA,2013J,241729,-31,
AAA,2013J,242793,-36,
AAA,2013J,246834,-16,
AAA,2013J,248270,-198,
AAA,2013J,255548,-103,
AAA,2013J,256815,-117,
AAA,2013J,258392,-68,
AAA,2013J,258894,-172,
AAA,2013J,260355,-186,170
AAA,2013J,262011,-145,
AAA,2013J,262934,-191,
AAA,2013J,268073,-33,
AAA,2013J,268733,-17,187
AAA,2013J,271251,-68,
AAA,2013J,277880,-108,177
AAA,2013J,279572,-138,
AAA,2013J,281022,-74,
AAA,2013J,281250,-64,
